Year,Month,Season,Location,Temp,COD,BOD,TSS,P,NH4,NO2,NO3
2017,Dekabr,qish,Downstream,10.2,6,1.6,95.1,0.005,0.189,0.025,1.319
2017,Yanvar,qish,Downstream,10,5.44,1.34,82.5,0.004,0.19,0.025,1.063
2017,Fevral,qish,Downstream,6.5,8.42,1.47,127.2,0.006,0.101,0.025,0.948
2017,Mart,bahor,Downstream,12,3.96,1.74,241.7,0.009,0.305,0.036,1.945
2017,Aprel,bahor,Downstream,10.1,4.32,1.51,186.3,0.011,0.247,0.034,1.834
2017,May,bahor,Downstream,12.7,5.49,1.7,205.9,0.013,0.258,0.041,1.741
2017,Iyun,yoz,Downstream,19.3,5.32,1.56,98.2,0.004,0.526,0.028,2.77
2017,Iyul,yoz,Downstream,18,5.06,1.6,113.4,0.004,0.48,0.029,2.331
2017,Avgust,yoz,Downstream,15.5,5.58,1.67,95.3,0.004,0.374,0.036,2.609
2017,Sentyabr,kuz,Downstream,20,9.16,1.66,13.3,0.011,0.092,0.057,2.2
2017,Oktyabr,kuz,Downstream,19.4,7.28,1.8,12.1,0.013,0.103,0.064,1.603
2017,Noyabr,kuz,Downstream,12.5,9.54,1.37,13.6,0.015,0.075,0.059,1.717
2018,Dekabr,qish,Downstream,10.8,6.61,1.55,35.4,0.011,0.344,0.035,1.47
2018,Yanvar,qish,Downstream,13.2,6.29,2.13,36.4,0.01,0.382,0.039,1.343
2018,Fevral,qish,Downstream,10.2,7.86,2.11,36.2,0.015,0.264,0.052,1.627
2018,Mart,bahor,Downstream,15.4,4.09,1.82,50.8,0.012,0.225,0.04,1.234
2018,Aprel,bahor,Downstream,14,4.18,1.74,58.4,0.014,0.21,0.043,1.457
2018,May,bahor,Downstream,11.1,5.95,1.36,49.8,0.013,0.225,0.049,1.599
2018,Iyun,yoz,Downstream,21.6,5.98,1.24,12.8,0.016,0.03,0.052,2.161
2018,Iyul,yoz,Downstream,23.5,6.45,1.19,14.1,0.017,0.029,0.049,2.363
2018,Avgust,yoz,Downstream,23.9,8,1.68,12.1,0.021,0.031,0.061,2.496
2018,Sentyabr,kuz,Downstream,11.7,6.74,1.61,31.9,0.006,0.131,0.014,1.309
2018,Oktyabr,kuz,Downstream,15.3,7.65,1.75,31.4,0.008,0.136,0.017,1.137
2018,Noyabr,kuz,Downstream,12,5.83,1.32,22.5,0.007,0.153,0.017,0.944
